,Total Sample,,Gender,,,Irish Region,,,,,,Age,,,,,,"Question 2 - How frequently do you typically buy something that you didn’t plan to buy, when shopping in a supermarket, grocery store or off licence at Christmas time?", ,,,,,"Question 3 - To what extent are the purchase decisions you make at Christmas in a supermarket, grocery store or off licence, impacted by the advertising you see?", ,,,,,"Question 5 - Top 3 favourite Brands to buy in a supermarket, grocery store or off licence at Christmas time?", ,,,,,,,,,,,,,,,,,,,,,Question 6 - Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time?, ,,,,,,,,,,,Question 7 - And what other types of media are likely to get your attention when looking for brands at Christmas time? Please select all that apply. , ,,,,,,,,,,,Females,Females Dublin,No Segments
,24%,,26%,22%, ,26%,21%,23%,31%,21%, ,47%,25%,22%,20%,14%, ,40%,26%,14%,5%,6%, ,50%,39%,16%,13%,12%, ,8%,25%,17%,25%,23%,28%,34%,22%,11%,32%,25%,18%,19%,6%,43%,18%,20%,25%,32%,21%,0%, ,20%,24%,22%,36%,37%,22%,26%,28%,22%,13%,18%, ,25%,21%,25%,29%,30%,28%,28%,28%,27%,33%,10%, ,33%,22%,23%
"Fashion & Clothing
 - Same",451,,236,215, ,130,123,128,50,20, ,53,93,115,105,85, ,107,167,130,41,6, ,32,107,207,84,21, ,4,50,10,126,27,25,12,45,15,8,123,5,28,12,23,58,25,5,46,18,0, ,121,26,20,20,25,10,52,78,65,27,7, ,212,151,101,95,90,52,126,146,138,72,6, ,71,66,334
,45%,,48%,42%, ,46%,45%,46%,44%,38%, ,41%,41%,44%,50%,48%, ,42%,43%,50%,47%,35%, ,39%,40%,50%,47%,37%, ,33%,48%,42%,41%,47%,47%,27%,48%,56%,29%,46%,45%,53%,67%,37%,55%,45%,31%,39%,47%,0%, ,45%,41%,41%,44%,40%,56%,49%,41%,45%,59%,64%, ,45%,50%,47%,44%,43%,49%,41%,41%,44%,39%,60%, ,39%,46%,46%
"Fashion & Clothing
 - Less",309,,126,183, ,78,95,86,28,22, ,15,76,89,63,66, ,46,117,94,42,10, ,9,58,139,73,29, ,7,29,10,103,17,13,17,28,9,11,76,4,15,5,13,29,20,7,33,12,0, ,94,22,18,9,14,4,26,58,49,13,2, ,144,88,60,59,56,24,96,111,94,52,3, ,52,46,224
,31%,,26%,36%, ,28%,34%,31%,25%,42%, ,12%,34%,34%,30%,38%, ,18%,30%,36%,48%,59%, ,11%,22%,34%,41%,51%, ,58%,28%,42%,34%,30%,25%,39%,30%,33%,39%,28%,36%,28%,28%,21%,27%,36%,44%,28%,32%,0%, ,35%,35%,37%,20%,23%,22%,25%,31%,34%,28%,18%, ,30%,29%,28%,27%,27%,23%,31%,31%,30%,28%,30%, ,28%,32%,31%
"Socialising out of home e.g In Restaurants, bars & cafes - More ",284,,162,122, ,94,80,67,34,9, ,64,64,75,47,34, ,105,127,39,11,2, ,43,111,92,32,6, ,3,35,8,86,15,14,13,30,5,7,69,5,9,3,29,27,11,7,49,9,0, ,68,15,10,16,22,6,25,65,41,13,3, ,130,75,62,63,77,44,90,114,104,54,2, ,62,45,201
,28%,,33%,24%, ,33%,29%,24%,30%,17%, ,50%,28%,29%,22%,19%, ,42%,33%,15%,13%,12%, ,52%,41%,22%,18%,11%, ,25%,33%,33%,28%,26%,26%,30%,32%,19%,25%,26%,45%,17%,17%,46%,25%,20%,44%,42%,24%,0%, ,25%,24%,20%,36%,35%,33%,24%,35%,28%,28%,27%, ,27%,25%,29%,29%,37%,42%,29%,32%,33%,29%,20%, ,34%,31%,28%
"Socialising out of home e.g In Restaurants, bars & cafes - Same",368,,195,173, ,105,101,99,42,21, ,35,86,101,73,73, ,89,131,108,34,6, ,32,95,149,70,22, ,2,40,5,115,20,16,15,27,12,9,107,3,20,10,26,39,23,3,33,13,0, ,102,22,22,20,20,7,41,62,52,15,5, ,175,116,81,81,68,37,110,123,92,66,5, ,57,48,276
,37%,,40%,34%, ,37%,37%,35%,37%,40%, ,27%,38%,39%,35%,41%, ,35%,34%,41%,39%,35%, ,39%,35%,36%,39%,39%, ,17%,38%,21%,38%,35%,30%,34%,29%,44%,32%,40%,27%,38%,56%,41%,37%,41%,19%,28%,34%,0%, ,38%,35%,45%,44%,32%,39%,39%,33%,36%,33%,45%, ,37%,38%,38%,38%,33%,35%,36%,34%,29%,35%,50%, ,31%,33%,38%
"Socialising out of home e.g In Restaurants, bars & cafes - Less",350,,133,217, ,82,95,113,37,23, ,30,75,85,91,69, ,59,126,114,42,9, ,7,63,172,78,29, ,7,30,11,105,22,23,16,36,10,12,91,3,24,5,8,40,22,6,35,16,0, ,98,26,17,9,20,5,40,61,53,18,3, ,169,113,71,72,64,25,108,121,121,66,3, ,65,51,249
,35%,,27%,42%, ,29%,34%,41%,33%,43%, ,23%,33%,33%,43%,39%, ,23%,33%,44%,48%,53%, ,9%,23%,42%,43%,51%, ,58%,29%,46%,34%,39%,43%,36%,39%,37%,43%,34%,27%,45%,28%,13%,38%,39%,38%,30%,42%,0%, ,37%,41%,35%,20%,32%,28%,38%,32%,36%,39%,27%, ,36%,37%,33%,33%,31%,24%,35%,34%,38%,35%,30%, ,35%,35%,34%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Question 2 - How frequently do you typically buy something that you didn’t plan to buy, when shopping in a supermarket, grocery store or off licence at Christmas time?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1002,,490,512, ,281,276,279,113,53, ,129,225,261,211,176, ,253,384,261,87,17, ,82,269,413,180,57, ,12,105,24,306,57,53,44,93,27,28,267,11,53,18,63,106,56,16,117,38,66, ,268,63,49,45,62,18,106,188,146,46,11, ,474,304,214,216,209,106,308,358,317,186,10, ,184,144,726
,100%,,49%,51%, ,28%,28%,28%,11%,5%, ,13%,22%,26%,21%,18%, ,25%,38%,26%,9%,2%, ,8%,27%,41%,18%,6%, ,1%,7%,2%,20%,4%,3%,3%,6%,2%,2%,17%,1%,3%,1%,4%,7%,4%,1%,8%,2%,4%, ,27%,6%,5%,4%,6%,2%,11%,19%,15%,5%,1%, ,47%,30%,21%,22%,21%,11%,31%,36%,32%,19%,1%, ,18%,14%,72%
Always,253,,102,151, ,63,78,65,32,15, ,36,59,68,54,36, ,0,0,0,0,0, ,51,106,67,23,6, ,5,37,4,86,13,13,8,19,4,5,75,4,14,3,20,19,13,4,33,9,0, ,67,7,13,10,18,7,28,44,44,12,3, ,121,84,63,64,60,36,93,105,80,56,1, ,59,43,166
,25%,,21%,29%, ,22%,28%,23%,28%,28%, ,28%,26%,26%,26%,20%, ,0%,0%,0%,0%,0%, ,62%,39%,16%,13%,11%, ,42%,35%,17%,28%,23%,25%,18%,20%,15%,18%,28%,36%,26%,17%,32%,18%,23%,25%,28%,24%,0%, ,25%,11%,27%,22%,29%,39%,26%,23%,30%,26%,27%, ,26%,28%,29%,30%,29%,34%,30%,29%,25%,30%,10%, ,32%,30%,23%
Often,384,,187,197, ,116,99,97,47,25, ,50,87,98,85,64, ,0,0,0,0,0, ,23,121,172,55,12, ,3,36,10,119,22,20,23,43,4,10,108,2,18,6,21,42,21,6,49,16,0, ,97,28,18,16,26,3,50,81,49,16,0, ,181,107,75,78,85,39,126,148,129,76,2, ,73,58,272
,38%,,38%,38%, ,41%,36%,35%,42%,47%, ,39%,39%,38%,40%,36%, ,0%,0%,0%,0%,0%, ,28%,45%,42%,31%,21%, ,25%,34%,42%,39%,39%,38%,52%,46%,15%,36%,40%,18%,34%,33%,33%,40%,38%,38%,42%,42%,0%, ,36%,44%,37%,36%,42%,17%,47%,43%,34%,35%,0%, ,38%,35%,35%,36%,41%,37%,41%,41%,41%,41%,20%, ,40%,40%,37%
Sometimes ,261,,140,121, ,77,75,82,20,7, ,34,57,80,39,51, ,0,0,0,0,0, ,6,36,139,66,14, ,3,25,8,74,18,15,9,26,11,8,61,3,17,9,19,28,16,4,22,9,0, ,72,16,14,13,12,5,21,45,42,14,7, ,130,80,52,52,49,21,69,82,85,37,6, ,43,35,199
,26%,,29%,24%, ,27%,27%,29%,18%,13%, ,26%,25%,31%,18%,29%, ,0%,0%,0%,0%,0%, ,7%,13%,34%,37%,25%, ,25%,24%,33%,24%,32%,28%,20%,28%,41%,29%,23%,27%,32%,50%,30%,26%,29%,25%,19%,24%,0%, ,27%,25%,29%,29%,19%,28%,20%,24%,29%,30%,64%, ,27%,26%,24%,24%,23%,20%,22%,23%,27%,20%,60%, ,23%,24%,27%
Rarely ,87,,51,36, ,19,23,27,12,6, ,6,19,14,30,18, ,0,0,0,0,0, ,2,6,32,32,15, ,1,6,2,25,3,4,3,5,6,3,20,1,4,0,2,12,6,2,13,4,0, ,28,10,4,5,5,2,5,15,10,3,0, ,36,31,24,19,13,7,20,12,20,16,0, ,7,7,75
,9%,,10%,7%, ,7%,8%,10%,11%,11%, ,5%,8%,5%,14%,10%, ,0%,0%,0%,0%,0%, ,2%,2%,8%,18%,26%, ,8%,6%,8%,8%,5%,8%,7%,5%,22%,11%,7%,9%,8%,0%,3%,11%,11%,13%,11%,11%,0%, ,10%,16%,8%,11%,8%,11%,5%,8%,7%,7%,0%, ,8%,10%,11%,9%,6%,7%,6%,3%,6%,9%,0%, ,4%,5%,10%
Never ,17,,10,7, ,6,1,8,2,0, ,3,3,1,3,7, ,0,0,0,0,0, ,0,0,3,4,10, ,0,1,0,2,1,1,1,0,2,2,3,1,0,0,1,5,0,0,0,0,0, ,4,2,0,1,1,1,2,3,1,1,1, ,6,2,0,3,2,3,0,11,3,1,1, ,2,1,14
,2%,,2%,1%, ,2%,0%,3%,2%,0%, ,2%,1%,0%,1%,4%, ,0%,0%,0%,0%,0%, ,0%,0%,1%,2%,18%, ,0%,1%,0%,1%,2%,2%,2%,0%,7%,7%,1%,9%,0%,0%,2%,5%,0%,0%,0%,0%,0%, ,1%,3%,0%,2%,2%,6%,2%,2%,1%,2%,9%, ,1%,1%,0%,1%,1%,3%,0%,3%,1%,1%,10%, ,1%,1%,2%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Question 3 - To what extent are the purchase decisions you make at Christmas in a supermarket, grocery store or off licence, impacted by the advertising you see?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1001,,490,512, ,281,276,279,113,53, ,129,225,261,211,176, ,253,384,261,87,17, ,82,269,413,180,57, ,12,105,24,306,57,53,44,93,27,28,267,11,53,18,63,106,56,16,117,38,66, ,268,63,49,45,62,18,106,188,146,46,11, ,474,304,214,216,209,106,308,358,317,186,10, ,184,144,726
,100%,,49%,51%, ,28%,28%,28%,11%,5%, ,13%,22%,26%,21%,18%, ,25%,38%,26%,9%,2%, ,8%,27%,41%,18%,6%, ,1%,7%,2%,20%,4%,3%,3%,6%,2%,2%,17%,1%,3%,1%,4%,7%,4%,1%,8%,2%,4%, ,27%,6%,5%,4%,6%,2%,11%,19%,15%,5%,1%, ,47%,30%,21%,22%,21%,11%,31%,36%,32%,19%,1%, ,18%,14%,72%
Always ,82,,44,38, ,19,24,20,12,7, ,16,18,25,12,11, ,51,23,6,2,0, ,0,0,0,0,0, ,0,14,1,23,2,3,8,2,1,3,17,3,2,1,7,12,4,1,10,2,0, ,14,6,5,1,9,2,7,22,11,5,0, ,36,27,16,20,28,20,39,35,23,19,1, ,18,10,58
,8%,,9%,7%, ,7%,9%,7%,11%,13%, ,12%,8%,10%,6%,6%, ,20%,6%,2%,2%,0%, ,0%,0%,0%,0%,0%, ,0%,13%,4%,8%,4%,6%,18%,2%,4%,11%,6%,27%,4%,6%,11%,11%,7%,6%,9%,5%,0%, ,5%,10%,10%,2%,15%,11%,7%,12%,8%,11%,0%, ,8%,9%,7%,9%,13%,19%,13%,10%,7%,10%,10%, ,10%,7%,8%
Often ,269,,138,131, ,71,84,69,27,18, ,43,66,62,56,42, ,106,121,36,6,0, ,0,0,0,0,0, ,4,35,6,85,13,13,12,32,3,9,65,2,12,2,28,25,12,7,41,10,0, ,55,18,18,17,19,6,35,42,42,17,0, ,138,68,60,54,64,37,101,111,94,65,0, ,57,35,190
,27%,,28%,26%, ,25%,30%,25%,24%,34%, ,33%,29%,24%,27%,24%, ,42%,32%,14%,7%,0%, ,0%,0%,0%,0%,0%, ,33%,33%,25%,28%,23%,25%,27%,34%,11%,32%,24%,18%,23%,11%,44%,24%,21%,44%,35%,26%,0%, ,21%,29%,37%,38%,31%,33%,33%,22%,29%,37%,0%, ,29%,22%,28%,25%,31%,35%,33%,31%,30%,35%,0%, ,31%,24%,26%
Sometimes ,413,,185,228, ,132,96,117,50,18, ,43,95,103,93,79, ,67,172,139,32,3, ,0,0,0,0,0, ,4,32,13,133,27,24,17,37,7,12,126,6,26,12,21,42,26,7,38,17,0, ,125,28,13,13,23,8,44,83,53,20,3, ,218,144,87,92,89,34,124,137,137,78,3, ,69,74,296
,41%,,38%,45%, ,47%,35%,42%,44%,34%, ,33%,42%,39%,44%,45%, ,26%,45%,53%,37%,18%, ,0%,0%,0%,0%,0%, ,33%,30%,54%,43%,47%,45%,39%,40%,26%,43%,47%,55%,49%,67%,33%,40%,46%,44%,32%,45%,0%, ,47%,44%,27%,29%,37%,44%,42%,44%,36%,43%,27%, ,46%,48%,41%,43%,43%,32%,40%,38%,43%,42%,30%, ,38%,52%,41%
Rarely ,180,,86,94, ,40,57,60,15,8, ,22,36,51,38,33, ,23,55,66,32,4, ,0,0,0,0,0, ,3,20,3,52,12,9,6,18,8,1,54,0,12,2,4,16,10,1,21,6,0, ,58,6,8,9,8,1,14,37,31,3,5, ,69,54,38,36,24,13,33,57,50,17,4, ,33,19,136
,18%,,18%,18%, ,14%,21%,22%,13%,15%, ,17%,16%,20%,18%,19%, ,9%,14%,25%,37%,24%, ,0%,0%,0%,0%,0%, ,25%,19%,13%,17%,21%,17%,14%,19%,30%,4%,20%,0%,23%,11%,6%,15%,18%,6%,18%,16%,0%, ,22%,10%,16%,20%,13%,6%,13%,20%,21%,7%,45%, ,15%,18%,18%,17%,11%,12%,11%,16%,16%,9%,40%, ,18%,13%,19%
Never ,57,,37,20, ,18,15,13,9,2, ,5,10,20,12,10, ,6,12,14,15,10, ,0,0,0,0,0, ,1,4,1,13,3,4,1,4,8,3,5,0,1,1,3,11,4,0,7,3,0, ,15,5,5,5,3,1,6,4,9,1,3, ,13,10,13,14,4,2,11,17,12,7,2, ,7,5,46
,6%,,8%,4%, ,6%,5%,5%,8%,4%, ,4%,4%,8%,6%,6%, ,2%,3%,5%,17%,59%, ,0%,0%,0%,0%,0%, ,8%,4%,4%,4%,5%,8%,2%,4%,30%,11%,2%,0%,2%,6%,5%,10%,7%,0%,6%,8%,0%, ,6%,8%,10%,11%,5%,6%,6%,2%,6%,2%,27%, ,3%,3%,6%,6%,2%,2%,4%,5%,4%,4%,20%, ,4%,3%,6%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Question 4 - How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket, grocery store or off licence, at Christmas time?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1002,,490,512, ,281,276,279,113,53, ,129,225,261,211,176, ,253,384,261,87,17, ,82,269,413,180,57, ,12,105,24,306,57,53,44,93,27,28,267,11,53,18,63,106,56,16,117,38,66, ,268,63,49,45,62,18,106,188,146,46,11, ,474,304,214,216,209,106,308,358,317,186,10, ,184,144,726
,100%,,49%,51%, ,28%,28%,28%,11%,5%, ,13%,22%,26%,21%,18%, ,25%,38%,26%,9%,2%, ,8%,27%,41%,18%,6%, ,1%,7%,2%,20%,4%,3%,3%,6%,2%,2%,17%,1%,3%,1%,4%,7%,4%,1%,8%,2%,4%, ,27%,6%,5%,4%,6%,2%,11%,19%,15%,5%,1%, ,47%,30%,21%,22%,21%,11%,31%,36%,32%,19%,1%, ,18%,14%,72%
"Celebrity endorsements
 - Very impactful ",75,,49,26, ,17,20,23,7,8, ,16,14,27,9,9, ,41,25,8,0,1, ,23,40,9,2,1, ,1,11,0,16,3,1,7,6,1,1,9,1,0,0,13,12,3,5,16,2,0, ,11,5,7,6,8,3,10,12,8,5,0, ,34,28,18,19,24,22,31,33,29,25,0, ,12,8,58
,7%,,10%,5%, ,6%,7%,8%,6%,15%, ,12%,6%,10%,4%,5%, ,16%,7%,3%,0%,6%, ,28%,15%,2%,1%,2%, ,8%,10%,0%,5%,5%,2%,16%,6%,4%,4%,3%,9%,0%,0%,21%,11%,5%,31%,14%,5%,0%, ,4%,8%,14%,13%,13%,17%,9%,6%,5%,11%,0%, ,7%,9%,8%,9%,11%,21%,10%,9%,9%,13%,0%, ,7%,6%,8%
"Celebrity endorsements
 - Fairly Impactful",149,,81,68, ,32,42,49,19,7, ,24,35,30,30,30, ,52,65,25,5,2, ,25,78,39,5,2, ,1,17,4,51,7,4,13,9,2,10,34,2,7,1,10,15,5,5,13,7,0, ,33,8,9,5,10,5,17,28,26,8,0, ,75,46,26,26,39,23,61,59,45,29,0, ,28,13,114
,15%,,17%,13%, ,11%,15%,18%,17%,13%, ,19%,16%,11%,14%,17%, ,21%,17%,10%,6%,12%, ,30%,29%,9%,3%,4%, ,8%,16%,17%,17%,12%,8%,30%,10%,7%,36%,13%,18%,13%,6%,16%,14%,9%,31%,11%,18%,0%, ,12%,13%,18%,11%,16%,28%,16%,15%,18%,17%,0%, ,16%,15%,12%,12%,19%,22%,20%,16%,14%,16%,0%, ,15%,9%,16%
"Celebrity endorsements
 - Neither",263,,116,147, ,80,62,76,28,17, ,30,64,64,60,45, ,58,101,82,18,4, ,17,67,133,36,10, ,1,26,5,80,17,16,6,29,5,5,82,3,14,4,16,34,20,3,27,6,0, ,65,15,6,10,23,4,40,51,35,12,2, ,128,73,55,57,64,22,70,109,81,48,3, ,56,41,182
,26%,,24%,29%, ,28%,22%,27%,25%,32%, ,23%,28%,25%,28%,26%, ,23%,26%,31%,21%,24%, ,21%,25%,32%,20%,18%, ,8%,25%,21%,26%,30%,30%,14%,31%,19%,18%,31%,27%,26%,22%,25%,32%,36%,19%,23%,16%,0%, ,24%,24%,12%,22%,37%,22%,38%,27%,24%,26%,18%, ,27%,24%,26%,26%,31%,21%,23%,30%,26%,26%,30%, ,30%,28%,25%
"Celebrity endorsements
 - Not very impactful",252,,103,149, ,83,71,62,28,8, ,42,56,65,51,38, ,53,107,74,15,3, ,10,52,140,45,5, ,6,19,11,84,16,15,9,28,4,4,77,2,12,6,18,19,15,1,29,13,0, ,68,15,13,11,15,3,26,50,36,12,3, ,128,79,49,52,52,26,80,89,88,38,3, ,57,47,168
,25%,,21%,29%, ,30%,26%,22%,25%,15%, ,33%,25%,25%,24%,22%, ,21%,28%,28%,17%,18%, ,12%,19%,34%,25%,9%, ,50%,18%,46%,27%,28%,28%,20%,30%,15%,14%,29%,18%,23%,33%,29%,18%,27%,6%,25%,34%,0%, ,25%,24%,27%,24%,24%,17%,25%,27%,25%,26%,27%, ,27%,26%,23%,24%,25%,25%,26%,25%,28%,20%,30%, ,31%,33%,23%
"Celebrity endorsements
 - Not at all impactful",263,,141,122, ,69,81,69,31,13, ,17,56,75,61,54, ,49,86,72,49,7, ,7,32,92,92,39, ,3,32,4,75,14,17,9,21,15,8,65,3,20,7,6,26,13,2,32,10,0, ,91,20,14,13,6,3,13,47,41,9,6, ,109,78,66,62,30,13,66,68,74,46,4, ,31,35,204
,26%,,29%,24%, ,25%,29%,25%,27%,25%, ,13%,25%,29%,29%,31%, ,19%,22%,28%,56%,41%, ,9%,12%,22%,51%,68%, ,25%,30%,17%,25%,25%,32%,20%,23%,56%,29%,24%,27%,38%,39%,10%,25%,23%,13%,27%,26%,0%, ,34%,32%,29%,29%,10%,17%,12%,25%,28%,20%,55%, ,23%,26%,31%,29%,14%,12%,21%,19%,23%,25%,40%, ,17%,24%,28%
"Health credentials
 - Very impactful ",165,,85,80, ,46,38,48,21,12, ,22,32,55,29,27, ,64,60,31,9,1, ,27,61,51,18,7, ,0,16,4,43,8,7,10,9,5,4,34,1,7,1,15,22,5,4,30,5,0, ,38,11,8,7,13,6,16,30,21,14,1, ,83,57,44,49,44,27,71,68,56,44,2, ,22,23,128
,16%,,17%,16%, ,16%,14%,17%,19%,23%, ,17%,14%,21%,14%,15%, ,25%,16%,12%,10%,6%, ,33%,23%,12%,10%,12%, ,0%,15%,17%,14%,14%,13%,23%,10%,19%,14%,13%,9%,13%,6%,24%,21%,9%,25%,26%,13%,0%, ,14%,17%,16%,16%,21%,33%,15%,16%,14%,30%,9%, ,18%,19%,21%,23%,21%,25%,23%,19%,18%,24%,20%, ,12%,16%,18%
"Health credentials
 - Fairly Impactful",410,,180,230, ,113,121,110,47,19, ,58,85,100,89,78, ,94,171,107,32,6, ,31,117,181,66,15, ,2,39,7,150,21,20,16,38,8,13,120,5,22,9,27,47,22,8,45,15,0, ,98,24,24,24,25,7,46,84,62,14,2, ,206,134,81,97,84,51,120,159,141,80,5, ,80,64,289
,41%,,37%,45%, ,40%,44%,39%,42%,36%, ,45%,38%,38%,42%,44%, ,37%,45%,41%,37%,35%, ,38%,43%,44%,37%,26%, ,17%,37%,29%,49%,37%,38%,36%,41%,30%,46%,45%,45%,42%,50%,43%,44%,39%,50%,38%,39%,0%, ,37%,38%,49%,53%,40%,39%,43%,45%,42%,30%,18%, ,43%,44%,38%,45%,40%,48%,39%,44%,44%,43%,50%, ,43%,44%,40%
"Health credentials
 - Neither",259,,145,114, ,73,76,70,27,13, ,31,67,62,49,50, ,49,95,87,23,5, ,16,56,125,53,9, ,7,26,8,72,16,13,14,21,7,7,67,2,12,6,12,22,16,4,22,11,0, ,80,17,8,7,16,3,31,42,37,14,4, ,121,71,51,38,46,20,77,79,68,42,2, ,44,31,193
,26%,,30%,22%, ,26%,28%,25%,24%,25%, ,24%,30%,24%,23%,28%, ,19%,25%,33%,26%,29%, ,20%,21%,30%,29%,16%, ,58%,25%,33%,24%,28%,25%,32%,23%,26%,25%,25%,18%,23%,33%,19%,21%,29%,25%,19%,29%,0%, ,30%,27%,16%,16%,26%,17%,29%,22%,25%,30%,36%, ,26%,23%,24%,18%,22%,19%,25%,22%,21%,23%,20%, ,24%,22%,27%
"Health credentials
 - Not very impactful",118,,56,62, ,33,28,39,10,8, ,17,30,28,31,12, ,30,47,28,11,2, ,6,23,48,34,7, ,1,16,2,27,8,9,3,20,3,2,39,2,9,1,7,9,9,0,16,6,0, ,31,10,7,4,7,1,10,23,19,4,2, ,52,30,22,21,27,6,29,40,39,14,1, ,30,18,80
,12%,,11%,12%, ,12%,10%,14%,9%,15%, ,13%,13%,11%,15%,7%, ,12%,12%,11%,13%,12%, ,7%,9%,12%,19%,12%, ,8%,15%,8%,9%,14%,17%,7%,22%,11%,7%,15%,18%,17%,6%,11%,8%,16%,0%,14%,16%,0%, ,12%,16%,14%,9%,11%,6%,9%,12%,13%,9%,18%, ,11%,10%,10%,10%,13%,6%,9%,11%,12%,8%,10%, ,16%,13%,11%
"Health credentials
 - Not at all impactful",50,,24,26, ,16,13,12,8,1, ,1,11,16,13,9, ,16,11,8,12,3, ,2,12,8,9,19, ,2,8,3,14,4,4,1,5,4,2,7,1,3,1,2,6,4,0,4,1,0, ,21,1,2,3,1,1,3,9,7,0,2, ,12,12,16,11,8,2,11,12,13,6,0, ,8,8,36
,5%,,5%,5%, ,6%,5%,4%,7%,2%, ,1%,5%,6%,6%,5%, ,6%,3%,3%,14%,18%, ,2%,4%,2%,5%,33%, ,17%,8%,13%,5%,7%,8%,2%,5%,15%,7%,3%,9%,6%,6%,3%,6%,7%,0%,3%,3%,0%, ,8%,2%,4%,7%,2%,6%,3%,5%,5%,0%,18%, ,3%,4%,7%,5%,4%,2%,4%,3%,4%,3%,0%, ,4%,6%,5%
